date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
2000-10-15,2000,0,,NYG,DAL,1504.037,1453.358,0.6605849089306074,0.3394150910693926,1515.593,1441.803,19,14
2000-10-15,2000,0,,NE,NYJ,1513.431,1577.34,0.5015700700497069,0.4984299299502931,1484.422,1606.349,17,34
2000-10-16,2000,0,,TEN,JAX,1637.549,1506.711,0.7553465901858217,0.24465340981417827,1649.716,1494.543,27,13
2000-10-19,2000,0,,TB,DET,1584.024,1496.202,0.7067629819728881,0.2932370180271119,1542.888,1537.339,14,28
2000-10-22,2000,0,,IND,NE,1595.474,1484.422,0.7336921931671276,0.26630780683287236,1605.729,1474.167,30,23
2000-10-22,2000,0,,BAL,TEN,1548.967,1649.716,0.44873384675040434,0.5512661532495957,1529.563,1669.12,6,14
2000-10-22,2000,0,,OAK,SEA,1579.994,1442.4,0.7624619547807991,0.23753804521920086,1594.643,1427.752,31,3
2000-10-22,2000,0,,PIT,CLE,1503.426,1297.642,0.8261750624775606,0.17382493752243944,1513.132,1287.936,22,0
2000-10-22,2000,0,,PHI,CHI,1505.417,1347.689,0.7828113546822438,0.21718864531775617,1511.765,1341.341,13,9
2000-10-22,2000,0,,MIN,BUF,1673.545,1555.325,0.7416762342648449,0.25832376573515514,1681.22,1547.649,31,27
2000-10-22,2000,0,,JAX,WSH,1494.543,1577.023,0.4748654615099248,0.5251345384900752,1466.316,1605.25,16,35
2000-10-22,2000,0,,DAL,ARI,1441.803,1362.541,0.6964477094289884,0.30355229057101163,1463.098,1341.246,48,7
2000-10-22,2000,0,,CIN,DEN,1285.041,1566.313,0.2235735096291902,0.7764264903708098,1326.336,1525.018,31,21
2000-10-22,2000,0,,CAR,SF,1449.267,1398.925,0.6601498174577252,0.33985018254227484,1468.284,1379.909,34,16
2000-10-22,2000,0,,ATL,NO,1405.606,1419.746,0.5726750432764529,0.4273249567235471,1392.725,1432.626,19,21
2000-10-22,2000,0,,KC,LAR,1526.098,1683.202,0.37047181817909924,0.6295281818209008,1566.105,1643.195,54,34
2000-10-23,2000,0,,NYJ,MIA,1606.349,1588.616,0.6168618423216403,0.3831381576783597,1616.587,1578.378,40,37
2000-10-29,2000,0,,LAC,OAK,1372.416,1594.643,0.2880094460451964,0.7119905539548036,1366.51,1600.549,13,15
2000-10-29,2000,0,,BUF,NYJ,1547.649,1616.587,0.4943330051180169,0.5056669948819831,1561.694,1602.542,23,20
2000-10-29,2000,0,,MIA,GB,1578.378,1506.99,0.6867809142641249,0.3132190857358751,1591.339,1494.03,28,20
2000-10-29,2000,0,,NYG,PHI,1515.593,1511.765,0.5977757264941838,0.40222427350581624,1538.139,1489.219,24,7
2000-10-29,2000,0,,ARI,NO,1341.246,1432.626,0.46210891462596615,0.5378910853740339,1318.552,1455.32,10,21
2000-10-29,2000,0,,ATL,CAR,1392.725,1468.284,0.4848090541404599,0.5151909458595401,1399.901,1461.107,13,12
2000-10-29,2000,0,,SF,LAR,1379.909,1643.195,0.2420586475121612,0.7579413524878388,1369.26,1653.843,24,34
2000-10-29,2000,0,,BAL,PIT,1529.563,1513.132,0.6150889248821854,0.38491107511781464,1511.854,1530.841,6,9
2000-10-29,2000,0,,SEA,KC,1427.752,1566.105,0.3959775589869289,0.6040224410130711,1414.02,1579.837,19,24
2000-10-29,2000,0,,TB,MIN,1542.888,1681.22,0.39600647271558226,0.6039935272844177,1584.967,1639.141,41,13
2000-10-29,2000,0,,CLE,CIN,1287.936,1326.336,0.5382058574322858,0.4617941425677142,1262.848,1351.425,3,12
2000-10-29,2000,0,,DAL,JAX,1463.098,1466.316,0.5879859931687358,0.4120140068312642,1439.553,1489.86,17,23
2000-10-29,2000,0,,IND,DET,1605.729,1537.339,0.6830566101958262,0.3169433898041738,1621.058,1522.009,30,18
2000-10-30,2000,0,,WSH,TEN,1605.25,1669.12,0.5016261949879053,0.4983738050120947,1585.718,1688.653,21,27
2000-11-05,2000,0,,OAK,KC,1600.549,1579.837,0.6209065713770496,0.37909342862295037,1622.036,1558.35,49,31
2000-11-05,2000,0,,ATL,TB,1399.901,1584.967,0.3337760859653842,0.6662239140346158,1383.196,1601.672,14,27
2000-11-05,2000,0,,CHI,IND,1341.341,1621.058,0.22513119525437963,0.7748688047456204,1365.148,1597.251,27,24
2000-11-05,2000,0,,CIN,BAL,1351.425,1511.854,0.3660190600573979,0.6339809399426021,1330.064,1533.214,7,27
2000-11-05,2000,0,,SEA,LAC,1414.02,1366.51,0.6564828702167361,0.3435171297832639,1421.201,1359.329,17,15
2000-11-05,2000,0,,CLE,NYG,1262.848,1538.139,0.22960687936108212,0.7703931206389178,1249.892,1551.095,3,24
2000-11-05,2000,0,,DET,MIA,1522.009,1591.339,0.49376895169074775,0.5062310483092523,1494.683,1618.666,8,23
2000-11-05,2000,0,,NO,SF,1455.32,1369.26,0.7046564783685061,0.2953435216314939,1470.98,1353.6,31,15
2000-11-05,2000,0,,NE,BUF,1474.167,1561.694,0.4676263940311778,0.5323736059688222,1461.333,1574.528,13,16
2000-11-05,2000,0,,NYJ,DEN,1602.542,1525.018,0.6943284785482094,0.30567152145179055,1571.665,1555.895,23,30
2000-11-05,2000,0,,LAR,CAR,1653.843,1461.107,0.8151229089506112,0.18487709104938876,1628.244,1486.706,24,27
2000-11-05,2000,0,,ARI,WSH,1318.552,1585.718,0.23798455556703763,0.7620154444329623,1330.185,1574.085,16,15
2000-11-05,2000,0,,TEN,PIT,1688.653,1530.841,0.782893554304468,0.21710644569553195,1692.984,1526.509,9,7
2000-11-05,2000,0,,PHI,DAL,1489.219,1439.553,0.6592762376288017,0.3407237623711983,1498.198,1430.574,16,13
2000-11-06,2000,0,,GB,MIN,1494.03,1639.141,0.38671162771096185,0.6132883722890381,1518.8,1614.371,26,20
2000-11-12,2000,0,,JAX,SEA,1489.86,1421.201,0.6833917478300037,0.31660825216999633,1459.601,1451.461,21,28
2000-11-12,2000,0,,NYG,LAR,1551.095,1628.244,0.482523306108979,0.517476693891021,1525.105,1654.235,24,38
2000-11-12,2000,0,,DET,ATL,1494.683,1383.196,0.7341811701962823,0.26581882980371774,1501.505,1376.373,13,10
2000-11-12,2000,0,,BUF,CHI,1574.528,1365.148,0.8291277785090124,0.17087222149098757,1583.31,1356.366,20,3
2000-11-12,2000,0,,LAC,MIA,1359.329,1618.666,0.246253669536664,0.7537463304633361,1348.478,1629.517,7,17
2000-11-12,2000,0,,TEN,BAL,1692.984,1533.214,0.7848032170499104,0.2151967829500896,1680.867,1545.332,23,24
2000-11-12,2000,0,,CLE,NE,1249.892,1461.333,0.3009070788180424,0.6990929211819576,1282.804,1428.421,19,11
2000-11-12,2000,0,,DAL,CIN,1430.574,1330.064,0.7216683200281261,0.2783316799718739,1445.538,1315.101,23,6
2000-11-12,2000,0,,TB,GB,1601.672,1518.8,0.7008229307978469,0.29917706920215315,1611.718,1508.754,20,15
2000-11-12,2000,0,,IND,NYJ,1597.251,1571.665,0.6274879153447603,0.37251208465523966,1612.973,1555.942,23,15
2000-11-12,2000,0,,CAR,NO,1486.706,1470.98,0.6141276548035968,0.38587234519640323,1456.132,1501.554,10,20
2000-11-12,2000,0,,SF,KC,1353.6,1558.35,0.30907108072447714,0.6909289192755228,1393.559,1518.39,21,7
2000-11-12,2000,0,,MIN,ARI,1614.371,1330.185,0.8818509612403452,0.11814903875965477,1620.265,1324.291,31,14
2000-11-12,2000,0,,PIT,PHI,1526.509,1498.198,0.631147159644387,0.36885284035561305,1508.235,1516.472,23,26
2000-11-13,2000,0,,DEN,OAK,1555.895,1622.036,0.498357974908669,0.5016420250913309,1569.81,1608.12,27,24
2000-11-19,2000,0,,MIN,CAR,1620.265,1456.132,0.7890145478849014,0.21098545211509856,1630.615,1445.783,31,17
2000-11-19,2000,0,,KC,BUF,1518.39,1583.31,0.5001151292526153,0.49988487074738475,1502.292,1599.409,17,21
2000-11-19,2000,0,,GB,IND,1508.754,1612.973,0.4437978325830896,0.5562021674169104,1521.197,1600.53,26,24
2000-11-19,2000,0,,CHI,TB,1356.366,1611.718,0.250536275556658,0.749463724443342,1379.114,1588.97,13,10
2000-11-19,2000,0,,NE,CIN,1428.421,1315.101,0.7362353162284528,0.26376468377154716,1435.186,1308.336,16,13
2000-11-19,2000,0,,NO,OAK,1501.554,1608.12,0.44046548420037224,0.5595345157996278,1481.646,1628.028,22,31
2000-11-19,2000,0,,MIA,NYJ,1629.517,1555.942,0.6894826643076852,0.31051733569231477,1586.98,1598.479,3,20
2000-11-19,2000,0,,BAL,DAL,1545.332,1445.538,0.7208396810580737,0.2791603189419263,1562.64,1428.23,27,0
2000-11-19,2000,0,,SF,ATL,1393.559,1376.373,0.6161173746970099,0.3838826253029901,1411.307,1358.626,16,6
2000-11-19,2000,0,,PIT,JAX,1508.235,1459.601,0.6579405186743857,0.34205948132561426,1474.963,1492.873,24,34
2000-11-19,2000,0,,PHI,ARI,1516.472,1324.291,0.814640970072629,0.18535902992737097,1527.286,1313.477,34,9
2000-11-19,2000,0,,TEN,CLE,1680.867,1282.804,0.9349663008216929,0.06503369917830715,1683.776,1279.894,24,10
2000-11-19,2000,0,,NYG,DET,1525.105,1501.505,0.62481177197523,0.37518822802477003,1493.883,1532.727,21,31
2000-11-19,2000,0,,DEN,LAC,1569.81,1348.478,0.838655676361983,0.16134432363801698,1571.789,1346.499,38,37
2000-11-20,2000,0,,LAR,WSH,1654.235,1574.085,0.697527286997143,0.30247271300285705,1614.818,1613.502,20,33
2000-11-23,2000,0,,DET,NE,1532.727,1435.186,0.7182224092926968,0.28177759070730324,1549.825,1418.088,34,9
2000-11-23,2000,0,,DAL,MIN,1428.23,1630.615,0.31198583666223484,0.6880141633377652,1413.166,1645.679,15,27
2000-11-26,2000,0,,OAK,ATL,1628.028,1358.626,0.8726919234248975,0.12730807657510246,1635.393,1351.261,41,14
2000-11-26,2000,0,,JAX,TEN,1492.873,1683.776,0.32634655628348186,0.6736534437165181,1512.684,1663.965,16,13
2000-11-26,2000,0,,ARI,NYG,1313.477,1493.883,0.3397675330750653,0.6602324669249346,1292.693,1514.666,7,31
2000-11-26,2000,0,,IND,MIA,1600.53,1586.98,0.6111550819348357,0.3888449180651643,1582.958,1604.553,14,17
2000-11-26,2000,0,,CIN,PIT,1308.336,1474.963,0.35778014099803784,0.6422198590019621,1287.512,1495.787,28,48
2000-11-26,2000,0,,LAC,KC,1346.499,1502.292,0.37223359712480597,0.627766402875194,1355.576,1493.214,17,16
2000-11-26,2000,0,,NYJ,CHI,1598.479,1379.114,0.83711765870468,0.16288234129531998,1604.478,1373.115,17,10
2000-11-26,2000,0,,WSH,PHI,1613.502,1527.286,0.7048433336406054,0.29515666635939464,1592.517,1548.271,20,23
2000-11-26,2000,0,,TB,BUF,1588.97,1599.409,0.5778804298833476,0.42211957011665235,1611.279,1577.1,31,17
2000-11-26,2000,0,,SEA,DEN,1451.461,1571.789,0.42104292017706246,0.5789570798229375,1434.379,1588.871,31,38
2000-11-26,2000,0,,BAL,CLE,1562.64,1279.894,0.8809845622775141,0.1190154377224859,1570.117,1272.417,44,7
2000-11-26,2000,0,,LAR,NO,1614.818,1481.646,0.7578209348073834,0.24217906519261656,1580.181,1516.283,24,31
2000-11-27,2000,0,,CAR,GB,1445.783,1521.197,0.4850175359294614,0.5149824640705386,1475.694,1491.285,31,14
2000-11-30,2000,0,,MIN,DET,1645.679,1549.825,0.7162529178773062,0.28374708212269384,1656.675,1538.829,24,17
2000-12-03,2000,0,,BUF,MIA,1577.1,1604.553,0.5538251002224401,0.44617489977755986,1539.55,1642.103,6,33
2000-12-03,2000,0,,PHI,TEN,1548.271,1663.965,0.4275588191374913,0.5724411808625087,1539.088,1673.148,13,15
